# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 235, mean track length: 2
85 -1.1628989196779529 0.088667763811823536 7.1337463327605084 150 84 34 0.40218515747330674 6 760 40 895
86 -1.1485374827829307 0.16180988563789944 7.1391633975436113 171 96 39 0.82841669983845212 6 773 40 905
87 -1.1485374827829307 0.16180988563789944 7.1391633975436113 171 96 39 0.82841669983845212 6 774 40 906
88 -1.1530491562882164 0.1636137140183648 7.1356647529691344 228 136 71 0.70811072341940129 6 899 40 907
89 -1.1475888548227697 0.16695525463390326 7.1411007996167299 204 138 86 0.25394325064543366 6 776 40 909
90 -1.1365744070913852 0.17070114310344894 7.1479620910679795 219 148 94 1.0338096712418983 6 781 40 912
93 -1.2191200375836384 -0.023383623433394066 7.0824154418392995 146 163 183 0.75695663716411299 6 915 40 930
94 -1.2301250378671864 -0.020442208738808757 7.0809661287183152 126 144 228 0.9167783246463419 6 793 40 931
95 -1.269963173138188 -0.012315151111871779 7.0733069957874326 182 202 253 0.68422784505230927 6 920 40 934
96 -1.269963173138188 -0.012315151111871779 7.0733069957874326 182 202 253 0.68422784505230927 6 919 40 935
97 -1.2148608091090012 -0.014836237053400078 7.0850501145842042 74 101 118 0.66567085803910786 6 795 40 936
98 -1.2416536294147009 -0.010434886088077258 7.0821729905980773 141 170 200 0.41547978654143036 6 797 40 940
99 -1.2790532319059875 -0.0018634711255946269 7.0689550085268742 146 181 216 0.37364776473459899 6 798 40 944
100 -1.2754962184878205 -0.0022890526121271612 7.0706043281782334 171 199 238 0.48723095270790723 6 799 40 945
101 -1.2240869870315738 -0.0064771897778685868 7.0826328180228675 139 157 181 0.39199969558797421 6 673 40 947
102 -1.2696852522253421 2.0236930856537549e-05 7.0733167937449837 115 139 163 0.17144929521330607 6 675 40 949
103 -1.2547699844807918 0.00091585327968803434 7.0774393925068653 64 94 120 0.30116633063753173 6 803 40 950
104 -1.2800782193724412 0.0046561063463636254 7.0699613940154054 133 157 181 0.68482917124183329 6 802 40 952
105 -1.277469031938032 0.0044871668062775871 7.0717317335507124 57 82 104 0.085953681119444347 6 804 40 953
106 -1.2242495289383402 -0.00028384226845204127 7.0844872367481031 138 154 180 0.033477608196616611 6 806 40 954
107 -1.2712041485042633 0.0067833061089968699 7.0732997595935529 56 69 78 0.52371836557637097 6 808 40 956
108 -1.2848926232391604 0.032358702704770988 7.0711226431017797 45 38 45 0.061094669167836582 6 832 40 966
109 -1.2824529056416234 0.040266293746206328 7.0720581971651884 146 180 215 0.092100509836817612 6 837 40 971
110 -1.3026319714454482 0.046046680103487739 7.060291652101184 130 96 61 0.608631566248933 6 953 40 974
111 -1.1622296827604355 0.0625153105284528 7.1328632602947559 181 128 96 0.32443096094143864 6 962 40 981
112 -1.1647174282181578 0.064432879354514125 7.1300757641408339 117 51 9 0.23220595585074055 6 968 40 983
113 -1.1555273243017345 0.064855252567736152 7.1377298879295221 130 52 13 0.036455893886885048 6 854 40 984
114 -1.1555273243017345 0.064855252567736152 7.1377298879295221 130 52 13 0.036455893886885048 6 855 40 985
115 -1.1601465004217903 0.065115111072220899 7.1342446727928488 133 60 15 0.52615707223803709 6 852 40 986
116 -1.1601465004217903 0.065115111072220899 7.1342446727928488 133 60 15 0.52615707223803709 6 853 40 987
117 -1.1788193315566373 0.065963735804402845 7.1235467135270252 175 126 93 0.08007678000104565 6 856 40 988
118 -1.1675205999728797 0.06600472112808177 7.1305766794814076 175 125 100 0.10141719624764775 6 727 40 989
119 -1.1393780784225649 0.06584624921809823 7.1472202517932022 165 74 30 0.22627200517310142 6 860 40 990
120 -1.1393780784225649 0.06584624921809823 7.1472202517932022 165 74 30 0.22627200517310142 6 859 40 991
121 -1.1400531339716602 0.069627280198274813 7.1521273716492964 220 153 116 0.26366379889860447 6 863 40 992
122 -1.1435766408493355 0.07104716566917349 7.1457426946861222 208 169 128 0.63542441105201763 6 977 40 994
123 -1.1597977571062907 0.072277302322771797 7.1340786862604668 142 59 27 0.41867159100242479 6 975 40 997
124 -1.1597977571062907 0.072277302322771797 7.1340786862604668 142 59 27 0.41867159100242479 6 976 40 998
125 -1.1392208973120166 0.075248466594308602 7.1481513766861431 216 152 104 0.18413055546017335 6 872 40 999
126 -1.1756892977156739 0.07581129090720766 7.1261180953135872 135 64 12 0.33629491982839071 6 865 40 1000
127 -1.1698417098775566 0.075885092793656142 7.1293931579266072 136 60 24 0.36119983550560286 6 868 40 1002
128 -1.2913637897578449 0.085185354491836063 7.0735797996284919 182 109 96 0.10821739175673414 6 974 40 1003
129 -1.1502775265074394 0.086656665348055675 7.1418383703177764 165 83 33 0.58505792683047975 6 886 40 1007
130 -1.3029191877294004 0.10372249631032268 7.079047746841475 188 112 80 0.25680153557352825 6 888 40 1012
131 -1.1514511201113935 0.15910194789556914 7.1414213459850444 206 131 74 0.84131948311192972 6 1002 40 1029
132 -1.1393667878949518 0.16850581424165198 7.14559032559381 189 119 68 0.81335506280559655 6 908 40 1031
133 -1.1550374755526451 0.1707316690189131 7.1360748755424828 168 86 39 0.48279802383683573 6 1008 40 1032
134 -1.1512747692820156 0.17011368811333347 7.1389351576350641 169 87 36 0.76808425438400185 6 907 40 1033
135 -1.1494371035409636 0.17517610256826671 7.1391220065824079 166 99 47 0.41944423200345249 6 1012 40 1034
138 -1.2694945800669881 -0.015040454590775394 7.0719908205531752 230 232 255 0.2216031335148175 6 916 40 1049
139 -1.2393196461084817 -0.0082146151297630282 7.0821284282926698 68 100 129 0.12554631213645251 6 929 40 1052
140 -1.2647408734278083 -0.0004074447826864537 7.0738051595313269 132 154 177 0.13120910188503687 6 800 40 1058
141 -1.2577129024821587 -0.0012016137756519774 7.0760610293235082 157 187 213 0.22405066703424717 6 931 40 1059
142 -1.2773147052326892 0.0229884565932989 7.0734376945349844 56 77 94 0.48267007508309112 6 942 40 1065
143 -1.2810218000578992 0.031580016586078827 7.0716961655011072 153 191 227 0.19649266493055262 6 945 40 1071
144 -1.323241325270214 0.038664207043431459 7.0560390965398208 194 156 145 0.027499741642546635 6 944 40 1073
145 -1.323241325270214 0.038664207043431459 7.0560390965398208 194 156 145 0.027499741642546635 6 943 40 1074
146 -1.3138444633382151 0.038462883490226224 7.0595425684143622 131 96 64 0.74990797255890151 6 946 40 1075
147 -1.3166762956651656 0.044043052173270925 7.0552177144647938 134 96 59 0.61070091219643741 6 835 40 1081
148 -1.3022632022213771 0.06351712257405065 7.0603648610026211 127 91 65 0.468332397966019 6 958 40 1098
149 -1.3041464087503896 0.070335035718075978 7.0650104017225841 132 93 64 0.018474293876506773 6 960 40 1100
150 -1.1731714040656016 0.061577512531333159 7.1263589544850001 167 128 85 0.10729620217376112 6 961 40 1101
151 -1.1535884533325378 0.062189401609605691 7.1392795090939876 181 130 101 0.020368508423387766 6 963 40 1102
152 -1.1578847786908564 0.062467698327465085 7.1351846078448897 175 135 115 0.023844099725102035 6 966 40 1103
153 -1.1462351809841764 0.062525457659597591 7.1421453609057792 196 144 105 0.40198931780903124 6 967 40 1104
154 -1.3061373528449505 0.079085384489183883 7.0678142907069423 148 75 45 0.30107346388776934 6 969 40 1110
